win,running,truecount,bet,dealcard,playhand,numhit,aceplay,acedeal,dealhandfinal,playerhandfinal,dealnumcard,dealbust,playbust,bjplay,bjdeal,split,ddown
0,0,0,-5,10,17,0,0,0,18,17,3,0,0,0,0,0,0
0,0,0,-5,8,12,1,0,0,18,22,2,0,1,0,0,0,0
0,0,0,-5,10,10,3,1,0,19,18,2,0,0,0,0,0,0
0,0,0,0,3,8,1,0,0,17,17,4,0,0,0,0,0,0
0,3,1,-10,4,9,1,0,0,20,14,3,0,0,0,0,0,1
1,1,0,6,5,19,0,1,1,25,19,4,1,0,0,0,0,0
0,3,1,-5,4,11,0,0,0,20,11,3,0,0,0,0,0,0
0,2,1,-6,7,18,0,0,0,19,18,3,0,0,0,0,0,0
0,-1,-1,-6,10,17,0,0,0,20,17,2,0,0,0,0,0,0
1,1,0,4,5,16,0,0,0,24,16,4,1,0,0,0,0,0
0,1,1,-5,10,14,1,0,0,17,22,3,0,1,0,0,0,0
0,1,0,-6,10,16,1,0,0,20,19,2,0,0,0,0,0,0
0,-2,-1,-5,21,15,1,0,1,21,25,2,0,0,0,1,0,0
0,3,3,-4,9,9,2,0,0,21,18,3,0,0,0,0,0,0
1,3,3,8,5,19,0,0,0,17,19,3,0,0,0,0,0,0
0,2,2,-8,7,18,0,0,0,19,18,3,0,0,0,0,0,0
1,4,4,7,9,16,2,1,0,18,20,3,0,0,0,0,0,0
0,2,2,-9,8,13,1,0,0,18,23,2,0,1,0,0,0,0
1,4,4,7,10,20,0,0,0,22,20,3,1,0,0,0,0,0
0,6,6,-9,3,15,0,0,1,21,15,4,0,0,0,0,0,0
1,4,4,11,4,15,2,2,0,19,20,4,0,0,0,0,0,0
0,2,2,-9,8,13,1,0,1,17,23,3,0,1,0,0,0,0
0,0,0,-5,7,12,1,0,0,17,22,2,0,1,0,0,0,0
0,1,0,-5,6,17,0,0,0,20,17,3,0,0,0,0,0,0
0,3,1,-5,2,14,0,0,0,21,17,4,0,0,0,0,0,0
1,1,0,6,10,17,0,0,0,26,17,3,1,0,0,0,0,0
0,1,0,-5,11,16,1,0,1,19,26,3,0,1,0,0,0,0
0,3,1,-5,7,15,1,0,0,20,19,3,0,0,0,0,0,0
1,4,2,6,5,13,1,1,0,18,20,3,0,0,0,0,0,0
0,6,3,-7,10,14,1,0,0,17,22,3,0,1,0,0,0,0
1,5,2,8,6,13,0,0,1,25,13,4,1,0,0,0,0,0
0,0,0,-7,10,13,3,2,0,20,24,2,0,1,0,0,0,0
0,-2,-2,-5,10,20,0,0,0,21,20,3,0,0,0,0,0,0
0,1,1,-3,11,19,0,0,1,21,19,4,0,0,0,0,0,0
1,6,6,12,9,11,1,0,0,17,19,4,0,0,0,0,0,1
1,6,6,11,5,15,0,0,0,23,15,3,1,0,0,0,0,0
0,7,7,0,6,10,1,0,1,20,20,3,0,0,0,0,0,1
1,3,3,14.8,10,21,0,1,0,20,21,2,0,0,1,0,0,0
0,2,2,-8,10,15,1,0,0,20,19,2,0,0,0,0,0,0
0,4,4,-14,9,11,1,0,0,21,19,3,0,0,0,0,0,1
0,0,0,-5,10,8,2,0,0,19,23,2,0,1,0,0,0,0
0,-1,-1,-5,11,15,1,0,1,23,22,4,1,1,0,0,0,0
0,-2,-1,-4,10,17,2,1,0,25,23,3,1,1,0,0,0,0
1,-3,-2,4,11,10,1,0,1,18,20,2,0,0,0,0,0,0
0,-4,-2,-3,10,19,0,0,0,20,19,3,0,0,0,0,0,0
0,-1,-1,-3,9,7,4,1,1,21,22,4,0,1,0,0,0,0
0,0,0,-4,6,12,0,0,1,20,12,3,0,0,0,0,0,0
1,2,1,5,3,18,0,0,0,22,18,4,1,0,0,0,0,0
1,2,1,6,5,14,0,0,0,23,14,3,1,0,0,0,0,0
1,-1,-1,6,10,20,0,0,0,17,20,2,0,0,0,0,0,0
0,-1,-1,0,10,9,1,0,0,19,19,2,0,0,0,0,0,0
0,1,1,0,10,9,3,0,0,20,20,2,0,0,0,0,0,0
1,1,1,7.2,4,21,0,1,0,10,21,2,0,0,1,0,0,0
1,1,1,6,10,18,0,0,0,22,18,4,1,0,0,0,0,0
0,4,4,-6,6,7,1,0,0,18,16,3,0,0,0,0,0,0
1,3,3,9,6,16,0,0,0,26,16,3,1,0,0,0,0,0
1,1,1,8,5,19,0,0,0,25,19,3,1,0,0,0,0,0
0,0,0,-6,8,16,2,1,0,18,22,2,0,1,0,0,0,0
0,0,0,-5,7,13,2,0,1,18,22,2,0,1,0,0,0,0
1,1,0,5,10,14,2,0,1,24,19,4,1,0,0,0,0,0
1,1,0,5,2,16,0,0,0,26,16,4,1,0,0,0,0,0
1,-2,-1,6,8,21,0,1,0,18,21,2,0,0,1,0,0,0
0,-2,-1,-4,5,7,0,0,0,20,17,3,0,0,0,0,0,0
0,1,0,-4,3,19,0,0,0,20,19,4,0,0,0,0,0,0
1,0,0,6,6,21,0,1,0,14,21,2,0,0,1,0,0,0
1,0,0,5,7,10,0,0,0,22,20,4,1,0,0,0,0,0
0,-1,-1,-5,7,9,1,0,0,17,25,2,0,1,0,0,0,0
0,0,0,-4,10,19,0,0,0,20,19,4,0,0,0,0,0,0
